quote,season,episode,episode_title,context,source_url,source_name
The last thing I heard was men yelling in Farsi.,7,4,,Mined from transcript,Transcript S07E04,TranscriptMining
"I don't see No, I-I understand there's traffic, Fudo.",7,6,,Mined from transcript,Transcript S07E06,TranscriptMining
I think dining in the dark probably does enhance the senses.,7,9,,Mined from transcript,Transcript S07E09,TranscriptMining
I understand that Sofia Burke made a run at the Dresden Green.,7,9,,Mined from transcript,Transcript S07E09,TranscriptMining
I wonder if a healthy finder's fee would make it your concern.,7,9,,Mined from transcript,Transcript S07E09,TranscriptMining
"We have very little time, but thanks to her hawaladar, we have a lead.",7,9,,Mined from transcript,Transcript S07E09,TranscriptMining
"I have many thoughts that do often lie too deep for tears. At the moment, the main one being to put a bullet in your forehead.",8,10,Dr. Laken Perillos,Bulk Ingest,Manual Input,ManualIngest
"I prefer to have my pain ignored than have no pain at all. Without pain there can be no real pleasure. Without the lows, you have no way to measure the highs.",8,10,Dr. Laken Perillos,Bulk Ingest,Manual Input,ManualIngest
Without pain there can be no real pleasure. Without the lows you have no way to measure the highs.,8,10,Dr. Laken Perillos,,https://multiple-sources,WebResearch
"We all have the devil in us, Harold. But the best of us have angels too.",9,4,The Avenging Angel (No. 49),,https://multiple-sources,WebResearch
I find LSD to be helpful in dark times and a blast in good times. Nothing loosens a tight sphincter like a good eight-hour acid trip.,9,18,Laszlo Jankowics (No. 180),Bulk Ingest,Manual Input,ManualIngest
"If my circle of friends gets any smaller, it won't be a circle.",10,4,The Hyena (No. 200),,https://multiple-sources,WebResearch
There's No Such Thing As Luck. Just Well-Placed Opportunities.,10,5,The Dockery Affair,Bulk Ingest,Manual Input,ManualIngest
"Time is the ultimate luxury, I think. To be savored, not hoarded nor compressed nor controlled.",10,5,The Dockery Affair,,https://multiple-sources,WebResearch
You get older and you realize we make life so complicated when it doesn't need to be. We complicate ourselves to death.,10,13,The Sicilian Error of Color,,https://multiple-sources,WebResearch
Not every answer is worth knowing.,10,14,The Nowhere Bride,,https://multiple-sources,WebResearch
"The best time to plant a tree is 20 years ago. The second best time is now. Luckily for you, I have three seedlings.",10,15,The Hat Trick,,https://multiple-sources,WebResearch
A Wise man can learn more from a foolish question than a fool can learn from a wise answer,2,9,Luther Braxton,,Manual Input,ManualIngest
A friend is a person who will help you move. A real friend is a person who will help you move a body.,,,,,https://multiple-sources,WebResearch
"Agent Park, I look forward to the day when you are as wise as you are aggressive. Until then I suggest you protect yourself from further embarrassment by saying nothing.",8,17,Ivan Stepanov,,Manual Input,ManualIngest
"As my father used to say to me, just because you’ve been bumped up to first chair in the orchestra, doesn’t mean you can compose a symphony.",3,1,The Troll Farmer,,Manual Input,ManualIngest
"Be careful, Lizzie. Because the truth of it is once you start down this road, there’s no logical place to stop. You could see to her education, health insurance, housing. You can watch her. Or have her watched. Keep her safe. Try to ascertain her... hopes, dreams, desires. Pull strings, call in favors to discreetly smooth the path. And, for the first few years, it may work. You’ll draw some measure of virtue from being her invisible benefactor. But, that won’t last. It’s all a fraud. That it’s really not about her at all. That it’s all about you. And you’re just... going through the motions to salve your own guilt. But, all the money, all the time and effort, all the favors in the world cannot possibly equal what you took away from her. Everything else is... just a nice gesture.",2,16,Tom Keen,,Manual Input,ManualIngest
Betrayal is just loyalty reprioritized.,,,,,https://multiple-sources,WebResearch
Beware the Fury of a patient man,,,,,Manual Input,ManualIngest
"Every day it will be the first thing you think about when you wake up, until one day, it’ll be the second thing",1,16,Mako Tanida,,Manual Input,ManualIngest
Everybody likes apples.,3,10,The Director: Conclusion,,Manual Input,ManualIngest
Everyone on my jet is there because they chose to be. That cannot be said of most endeavors in life.,,,,,https://multiple-sources,WebResearch
Flying is life. Falling is death.,6,16,Lady Luck,,Manual Input,ManualIngest
"Forgiveness doesn’t mean accepting what you’ve done, Donald. It means understanding that the line dividing good and evil cuts through the hearts of all of us.",5,10,The Informant,,Manual Input,ManualIngest
Forgiveness is a luxury not everyone can afford.,,,,,https://multiple-sources,WebResearch
Have I Threatened You Before?,,,,Bulk Ingest,Manual Input,ManualIngest
Hope is the worst of all evils because it prolongs the torment of man.,,,,,https://multiple-sources,WebResearch
"I could tell you how to win a marathon, but you’re assuming it’s a 26.6-mile race.",,,,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"I finally had a chance to see her, Sam. There’s a fire inside she got from you. She’s volatile, unpredictable, soft, and hard, and... soft again. Stronger than she knows. You gave her an incredible gift, Sam. Taking her in and loving her as your own.",1,8,General Ludd,,Manual Input,ManualIngest
"I have found in my experience people rarely change and when they do, they’re not to be trusted.",4,20,The Debt Collector,,Manual Input,ManualIngest
"I met Dr. Sanders here through a mutual friend to discuss a very delicate and underfunded research project. As I recall, the science was awesome, but financially precarious. We did, however, spend a glorious weekend in God’s Country with two snow bunnies who were dead ringers for the Swiss Miss Girl.",1,21,Berlin,,Manual Input,ManualIngest
"I was once on the island of Ko Ri, free diving in the Andaman Sea. I fell terribly ill, stung by a lionfish. I was dehydrated and in excruciating pain. I had lost all sense of time and place, completely disoriented. But I knew I was dying. So I readied myself for it. And in that moment at death’ door, I looked up... And standing over me in the brightness was this landless Moken Sea Gypsy. Just standing there. Smiling. She and her tribe nursed me back to health. Good as new. When I left the island, she kissed me, it was like a burst of sunlight on my cheek. It was... It made nearly dying welling worth it. That’s how I feel now.",1,21,Berlin,,Manual Input,ManualIngest
I've always found that true power comes from the ability to remain calm when the world around you is in chaos.,,,,,https://multiple-sources,WebResearch
"I've made it my mission in life to identify, cultivate, and exploit the weakness in my enemies.",,,,,https://multiple-sources,WebResearch
"If horses were wishes, beggars would ride.",,,,,Manual Input,ManualIngest
"In the kingdom of the blind, the one-eyed man is king.",2,22,Tom Connolly,,Manual Input,ManualIngest
"In the short term, justice always loses to politics.",,,,,Manual Input,ManualIngest
"In this world, loyalty is rare. That's why it's so valuable.",,,,,https://multiple-sources,WebResearch
"In this world, power is everything. The rest is just an illusion.",,,,,https://multiple-sources,WebResearch
"In this world, there are no heroes or villains. Only survivors.",,,,,https://multiple-sources,WebResearch
Ineptitude bothers me. A lack of originality. Margarine. This and most everything else... Deck chairs on the Titanic.,9,11,The Conglomerate (142),,Manual Input,ManualIngest
"It's just a part of life--watching the generation ahead of you, the people you care about, grow old... at some point, you start to... do the mental work necessary to prepare yourself for the inevitable. And yet, I'm afraid I stand here, Marvin, woefully unprepared.",8,3,16 Ounces,,Manual Input,ManualIngest
"I’m a contrarian by necessity, not by choice. If people were wrong less often, my life would be much easier.",7,13,Newton Purcell,,Manual Input,ManualIngest
Knowledge without action is meaningless.,,,,,https://multiple-sources,WebResearch
"Last night, I got up for a scoop of orange sherbet and she caught my eye. I just stood here in the dark squinting at her. Poor thing ruined my appetite. Even after I went back to bed, all I could hear was the hideous music she must be playing. Didn’t sleep a wink.",1,14,Madeline Pratt,,Manual Input,ManualIngest
"Lies By Omission Are Still Lies, Harold. Some Would Argue They're The Worst Kind.",,,,Bulk Ingest,Manual Input,ManualIngest
"Life is a game, my dear. Play it to win, or don't play at all.",,,,,https://multiple-sources,WebResearch
Life is all about perception. It's what you make of it that counts.,,,,,https://multiple-sources,WebResearch
Loyalty is in the eye of the beholder.,,,,,https://multiple-sources,WebResearch
"Money can't buy happiness, but it can buy a damn good alibi.",,,,,https://multiple-sources,WebResearch
"My God! It tastes so good! I hesitate to swallow and I certainly don’t wanna spit it out. Oh, what the hell?",2,10,Luther Braxton: Conclusion,,Manual Input,ManualIngest
Never trust a man who smiles too much. It's either a sign of charm or a sign of madness.,,,,,https://multiple-sources,WebResearch
Nothing is so common as the wish to be remarkable.,,,,,https://multiple-sources,WebResearch
"People Say Money Can't Buy Happiness, But It Can Buy You A Yacht Big Enough To Sail Right Up To It.",,,,Bulk Ingest,Manual Input,ManualIngest
Power isn't something you're given. It's something you take.,,,,,https://multiple-sources,WebResearch
"Reciprocity’s a bitch, right, dahling? Screw the bear, the bear screws back. Batteries not included.",3,2,Marvin Gerard,,Manual Input,ManualIngest
"Regret requires age or the passage of time. And believe me, time has a way of making all things clear.",,,,,https://multiple-sources,WebResearch
"So, we’re all good at reading people. What fun!",3,4,The Djinn,,Manual Input,ManualIngest
Sometimes bad luck is the best luck you’ll ever have.,3,3,Eli Matchett,,Manual Input,ManualIngest
Sometimes the only way out is through.,,,,,https://multiple-sources,WebResearch
Sometimes the only way to find yourself is to lose everything.,,,,,https://multiple-sources,WebResearch
That's what love is... being helpless.,2,8,The Decembrist,,Manual Input,ManualIngest
The Past Is A Ghost That Never Truly Leaves Us.,,,,Bulk Ingest,Manual Input,ManualIngest
The cleaner suddenly fancies herself the strategist.,4,1,Esteban,,Manual Input,ManualIngest
The greatest trick the devil ever pulled was convincing the world he didn't exist.,,,,,https://multiple-sources,WebResearch
The greatest weapon is not a gun or a bomb. It's the truth.,,,,,https://multiple-sources,WebResearch
"The human condition is a series of choices. Some right, some wrong, but all ours to make.",,,,,https://multiple-sources,WebResearch
The line between good and evil is often blurred. It's the choices we make that define us.,,,,,https://multiple-sources,WebResearch
"The measure of a man is not in how he gets knocked to the mat, it's in how he gets up.",,,,,https://multiple-sources,WebResearch
The only way to truly know someone is to see how they handle power.,,,,,https://multiple-sources,WebResearch
The past is a prison. It's up to us to break free.,,,,,https://multiple-sources,WebResearch
The road to hell is paved with good intentions.,,,,,https://multiple-sources,WebResearch
"The thing about the truth is, not a lot of people can handle it.",,,,,https://multiple-sources,WebResearch
"The truth will set you free, but first, it will piss you off.",,,,,https://multiple-sources,WebResearch
The world is full of wolves and sheep. Be the wolf.,,,,,https://multiple-sources,WebResearch
Then you’ll just have to find another criminal to talk to Elizabeth Keen and make fun of Agent Ressler.,1,8,General Ludd,,Manual Input,ManualIngest
"There are no shortcuts in life, only detours.",,,,,https://multiple-sources,WebResearch
There's Nothing That Can't Be Accomplished With A Little Ingenuity And A Lot Of Explosives.,,,,Bulk Ingest,Manual Input,ManualIngest
Trust no one. Not even yourself.,,,,,https://multiple-sources,WebResearch
"Truth is such a rare thing, it is delightful to tell it.",,,,,https://multiple-sources,WebResearch
"We're all puppets, Harold. Some of us just have more strings than others.",,,,,https://multiple-sources,WebResearch
What good are ethics if you aren’t alive to live by them?,2,21,Karakurt,,Manual Input,ManualIngest
"When I was young, I wanted to dance. I saw Gary Cooper dance on the screen, it was wonderful. Years later when I saw Gary, he looked old and grey. It turned out he had a cracked heart valve, very difficult to fix. He was on a waiting list to the end of his days. Just like Elias.",,,,,Manual Input,ManualIngest
"Yes. It’ll undoubtedly take some time. But I’m sure she’ll be fine. He’ll always be there with her. Standing in the shadows to keep her safe. Laughing with her in the light. Watching through her eyes, all those who get close. He’ll always be there. She will be fine.",1,8,General Ludd,,Manual Input,ManualIngest
"You and I both know thinking on your feet is not your strong suit Luther. You will make a mistake and when you do, I will be there to indulge in the undeniable pleasure and sweet satisfaction of 'I told you so.",2,9,Luther Braxton,,Manual Input,ManualIngest
You look familiar... Have I threatened you before?,,,,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
"You made a deal with the devil. Just because the devil gives you a way out, doesn’t mean he’s any less of a devil",,,,,Manual Input,ManualIngest
You made a devil’s bargain. Did you really expect me to stop being the devil?,10,20,Arthur Hudson,,Manual Input,ManualIngest
You seem younger in person than you appear to be when lurking in the background on television. Are you a swimmer?,2,10,Luther Braxton: Conclusion,,Manual Input,ManualIngest
"You two out here, playing grab ass in the woods just smacks of something biblical.",2,5,The Front,,Manual Input,ManualIngest
You’re already in their hands. The only thing they haven’t done is close their fist.,2,22,Tom Connolly,,Manual Input,ManualIngest
