quote,season,episode,episode_title,context,source_url,source_name
"What did you do, Harold? I asked New Scotland Yard to keep eyes on McGrath.",4,3,,Mined from transcript,Transcript S04E03,TranscriptMining
"During World War II, the Oeuvre de Secours aux Enfants smuggled Jewish children out of France to Switzerland.",4,5,,Mined from transcript,Transcript S04E05,TranscriptMining
"Maintenance tunnels here, here, and here give us access to the rendezvous point.",4,6,,Mined from transcript,Transcript S04E06,TranscriptMining
"When I turned myself in, I never imagined things could've turned out this badly.",4,6,,Mined from transcript,Transcript S04E06,TranscriptMining
"so Rory says, ""In Boston, a shot of whiskey and a pint of stout is an Irish Car Bomb.",4,7,,Mined from transcript,Transcript S04E07,TranscriptMining
"You've told me you've always wanted a pristine, unspoiled place to live out your days in peace.",4,8,,Mined from transcript,Transcript S04E08,TranscriptMining
"I had bullets. He had words. But when he was done talking for the first time, I truly understood which of those was more powerful.",4,10,The Forecaster,,https://everydaypower.com/raymond-reddington-quotes/,EverydayPower
There's a man I know who works as a docent in a small museum - in the Northwest.,4,14,,Mined from transcript,Transcript S04E14,TranscriptMining
"The Apothecary can create embolisms, - aneurysms - [ Bites .]",4,15,,Mined from transcript,Transcript S04E15,TranscriptMining
"Tell me, how's Tom? Liz: He's having a hard time, actually.",4,18,,Mined from transcript,Transcript S04E18,TranscriptMining
